"Feature"	"FeatureName"	"Mean.Timberlake_Field(n=5)"	"Mean.Timberlake_Lab(n=18)"	"StdErr.Timberlake_Field(n=5)"	"StdErr.Timberlake_Lab(n=18)"	"MWTest.UStat"	"MWTest.Pval"	"MWTest.adjPval"	"3300017993.Timberlake_Field"	"3300017994.Timberlake_Field"	"3300017930.Timberlake_Field"	"3300017936.Timberlake_Field"	"3300017927.Timberlake_Field"	"3300017822.Timberlake_Lab"	"3300017821.Timberlake_Lab"	"3300017937.Timberlake_Lab"	"3300018001.Timberlake_Lab"	"3300018006.Timberlake_Lab"	"3300017823.Timberlake_Lab"	"3300017995.Timberlake_Lab"	"3300017932.Timberlake_Lab"	"3300017926.Timberlake_Lab"	"3300017928.Timberlake_Lab"	"3300017942.Timberlake_Lab"	"3300018007.Timberlake_Lab"	"3300017924.Timberlake_Lab"	"3300017934.Timberlake_Lab"	"3300017933.Timberlake_Lab"	"3300017943.Timberlake_Lab"	"3300018012.Timberlake_Lab"	"3300017955.Timberlake_Lab"
"K"	"Transcription"	"18237"	"21237.7777777778"	"855.98568913271"	"1644.2754717992"	"30"	"0.289934321970935"	"0.913845879520937"	"17264"	"17235"	"18511"	"21452"	"16723"	"16919"	"12383"	"21935"	"20530"	"21988"	"22256"	"21464"	"18154"	"14633"	"15817"	"24188"	"24149"	"14555"	"18596"	"19104"	"32216"	"20916"	"42477"
"L"	"Replication, recombination and repair"	"27117.2"	"36072.2777777778"	"1078.35816869906"	"2974.75939687857"	"19"	"0.055395405509822"	"0.913845879520937"	"26528"	"26642"	"27396"	"30849"	"24171"	"29823"	"20426"	"30840"	"34408"	"39066"	"39729"	"38208"	"31647"	"24051"	"27068"	"39770"	"39160"	"23527"	"31826"	"34534"	"57340"	"33567"	"74311"
"M"	"Cell wall/membrane/envelope biogenesis"	"26890.4"	"27068.3888888889"	"1499.68031926808"	"2515.39863281221"	"46"	"0.97126214746352"	"1"	"24575"	"24500"	"28160"	"32241"	"24976"	"22749"	"12808"	"24854"	"25438"	"31261"	"30582"	"30240"	"19253"	"14232"	"17098"	"26852"	"31871"	"17325"	"25250"	"26321"	"44099"	"29545"	"57453"
"N"	"Cell motility"	"3750.6"	"3818.11111111111"	"219.288075371188"	"407.207627091347"	"50"	"0.745341614906832"	"0.913845879520937"	"3345"	"3377"	"3854"	"4546"	"3631"	"3304"	"1812"	"4299"	"3447"	"4358"	"4401"	"4566"	"2218"	"1323"	"1901"	"3322"	"4544"	"2482"	"3263"	"3507"	"6140"	"5364"	"8475"
"O"	"Posttranslational modification, protein turnover, chaperones"	"16523"	"16911.0555555556"	"806.454400446795"	"1367.19994969018"	"43"	"0.913845879520937"	"0.913845879520937"	"15300"	"15761"	"16984"	"19471"	"15099"	"13703"	"9535"	"16266"	"17417"	"18629"	"18473"	"18171"	"13327"	"9900"	"11499"	"17811"	"19613"	"11507"	"15614"	"16094"	"25878"	"17073"	"33889"
"P"	"Inorganic ion transport and metabolism"	"16477.6"	"15889.3333333333"	"728.159913755213"	"1214.21721199648"	"53"	"0.587357722369164"	"0.913845879520937"	"15701"	"16248"	"16616"	"19097"	"14726"	"12640"	"9066"	"17560"	"17080"	"17065"	"16559"	"16347"	"13212"	"10115"	"11304"	"17289"	"18214"	"11153"	"13719"	"14516"	"23739"	"15440"	"30990"
"Q"	"Secondary metabolites biosynthesis, transport and catabolism"	"6926.2"	"7571.66666666667"	"278.162434559378"	"593.330243437647"	"44"	"0.97126214746352"	"1"	"6950"	"6907"	"6836"	"7845"	"6093"	"6437"	"4096"	"7729"	"8138"	"7558"	"7348"	"7896"	"6564"	"5661"	"5852"	"8967"	"9542"	"5679"	"5309"	"6778"	"11488"	"6317"	"14931"
"R"	"General function prediction only"	"29896"	"32234.6666666667"	"1348.85151147189"	"2706.57168528412"	"41"	"0.800618146155904"	"0.913845879520937"	"28483"	"29183"	"30386"	"34733"	"26695"	"26759"	"16944"	"31595"	"32135"	"35127"	"34642"	"33927"	"26470"	"20334"	"22538"	"34725"	"36892"	"21849"	"28091"	"30371"	"50679"	"30393"	"66753"
"S"	"Function unknown"	"38859.4"	"41372.0555555556"	"1652.25992507232"	"3321.51036444652"	"43"	"0.913845879520937"	"0.913845879520937"	"37179"	"38857"	"38937"	"44686"	"34638"	"34377"	"23154"	"41154"	"43559"	"44074"	"43601"	"43280"	"34446"	"26375"	"29111"	"44771"	"47931"	"28064"	"36284"	"38235"	"63880"	"38943"	"83458"
"T"	"Signal transduction mechanisms"	"12899.2"	"14327.3888888889"	"578.669975028945"	"1276.25802639097"	"36"	"0.538203215548753"	"0.913845879520937"	"12362"	"12449"	"12864"	"15096"	"11725"	"12388"	"7136"	"14340"	"13308"	"15580"	"15123"	"15669"	"11798"	"8764"	"10018"	"15445"	"16085"	"9835"	"11127"	"13622"	"23174"	"13778"	"30703"
"U"	"Intracellular trafficking, secretion, and vesicular transport"	"9107.8"	"9014.38888888889"	"527.68270769469"	"862.138931295579"	"49"	"0.800618146155904"	"0.913845879520937"	"8150"	"8181"	"9600"	"10940"	"8668"	"7607"	"4014"	"8276"	"8320"	"10656"	"10560"	"10286"	"6061"	"4191"	"5522"	"8573"	"10585"	"5823"	"8494"	"8955"	"14495"	"10700"	"19141"
"V"	"Defense mechanisms"	"2595.8"	"2884.22222222222"	"114.932327915169"	"228.633458909764"	"41"	"0.800618146155904"	"0.913845879520937"	"2464"	"2474"	"2622"	"3030"	"2389"	"2300"	"1585"	"2979"	"2860"	"3039"	"2911"	"2923"	"2397"	"2059"	"2175"	"3327"	"3448"	"1946"	"2370"	"2562"	"4388"	"2850"	"5797"
"W"	"Extracellular structures"	"3"	"1.83333333333333"	"0.894427190999916"	"0.512905347432484"	"65.5"	"0.124498192516454"	"0.913845879520937"	"1"	"4"	"2"	"6"	"2"	"3"	"0"	"9"	"4"	"0"	"1"	"4"	"2"	"1"	"1"	"1"	"1"	"0"	"0"	"1"	"2"	"2"	"1"
"Y"	"Nuclear structure"	"0"	"0.277777777777778"	"0"	"0.177225449188971"	"37.5"	"0.372573945059307"	"0.913845879520937"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"Z"	"Cytoskeleton"	"99"	"99.0555555555556"	"9.5236547606473"	"9.51004705122352"	"45"	"1"	"1"	"107"	"83"	"86"	"133"	"86"	"36"	"118"	"115"	"136"	"85"	"86"	"55"	"92"	"64"	"76"	"157"	"112"	"57"	"93"	"47"	"122"	"160"	"172"
