pfam02950	Conotoxin
pfam18384	Unkempt Zinc finger domain 1 (Znf1)
pfam14767	Replication protein A interacting middle
pfam12637	TSCPD domain
pfam14434	Immunity protein Imm6
pfam18698	Histidine kinase sensor domain
pfam12923	Ribosomal RNA-processing protein 7 (RRP7) C-terminal domain
pfam17195	Protein of unknown function (DUF5132)
pfam04774	Hyaluronan / mRNA binding family
pfam06984	Mitochondrial 39-S ribosomal protein L47 (MRP-L47)
pfam07860	WisP family C-Terminal Region
pfam12289	Rotavirus VP1 C-terminal domain
pfam01318	Bromovirus coat protein
pfam15299	Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 8
pfam02928	C5HC2 zinc finger
pfam08693	Transmembrane alpha-helix domain
pfam10114	Sensory domain found in PocR
pfam18786	Importin 13 repeat
pfam05204	Homing endonuclease
pfam15445	acidic terminal segments, variant surface antigen of PfEMP1
pfam11724	YvbH-like oligomerisation region
pfam11313	Protein of unknown function (DUF3116)
pfam12855	ECL1/2/3 zinc binding proteins
pfam13299	Cleavage and polyadenylation factor 2 C-terminal
pfam17097	Spindle pole body component
pfam17756	RET Cadherin like domain 1
pfam13445	RING-type zinc-finger
pfam19425	Csd3 second domain
pfam18764	Nitrous oxide reductase propeller repeat
pfam10441	Urb2/Npa2 family
pfam14387	Domain of unknown function (DUF4418)
pfam02305	Capsid protein (F protein)
pfam06966	Protein of unknown function (DUF1295)
pfam01841	Transglutaminase-like superfamily
pfam06167	Glucose-regulated metallo-peptidase M90
pfam14151	YfhD-like protein
pfam09096	Baseplate structural protein, domain 2
pfam18700	Cytosolic arginine sensor for mTORC1 subunit 1 N-terminal domain
pfam03260	Lepidopteran low molecular weight (30 kD) lipoprotein
pfam14281	PD-(D/E)XK nuclease superfamily
pfam09757	Arb2 domain
pfam02493	MORN repeat
pfam18449	Delta endotoxin 
pfam17354	Family of unknown function (DUF5382)
pfam00342	Phosphoglucose isomerase
pfam16174	Intracellular hyaluronan-binding protein 4 N-terminal
pfam12015	Domain of unknown function (DUF3507)
pfam18295	M17 aminopeptidase N-terminal domain 2
pfam18366	Zic proteins zinc finger domain
pfam15488	Domain of unknown function (DUF4645)
pfam08777	RNA binding motif
pfam11940	Domain of unknown function (DUF3458) Ig-like fold
pfam12498	Basic leucine-zipper C terminal
pfam09719	Putative redox-active protein (C_GCAxxG_C_C)
pfam18437	Nup54 C-terminal interacting domain
pfam14641	Helix-turn-helix DNA-binding domain of SPT6
pfam05483	Synaptonemal complex protein 1 (SCP-1)
pfam08232	Striatin family
pfam05193	Peptidase M16 inactive domain
pfam13459	4Fe-4S single cluster domain
pfam10044	Retinal tissue protein
pfam07052	Hepatocellular carcinoma-associated antigen 59
pfam08727	Poliovirus 3A protein like
pfam01281	Ribosomal protein L9, N-terminal domain
pfam12188	Signal transducer and activator of transcription 2 C terminal
pfam17448	Uncharacterized YqaH-like
pfam14550	Putative phage serine protease XkdF
pfam13417	Glutathione S-transferase, N-terminal domain
pfam15198	Dexamethasone-induced
pfam01641	SelR domain
pfam03212	Pertactin
pfam04940	Sensors of blue-light using FAD
pfam16124	RecQ zinc-binding
pfam02183	Homeobox associated leucine zipper
pfam07443	HepA-related protein (HARP)
pfam01387	Synuclein
pfam12039	Protein of unknown function (DUF3525)
pfam02253	Phospholipase A1
pfam18455	Gamma-aminobutyric acid type B receptor subunit 2 coiled-coil domain
pfam19792	Family of unknown function (DUF6276)
pfam01151	GNS1/SUR4 family
pfam12258	Microcephalin protein
pfam12047	Cytosine specific DNA methyltransferase replication foci domain
pfam19475	Family of unknown function (DUF6012)
pfam14841	FliG middle domain
pfam09735	Membrane-associated apoptosis protein
pfam02978	Signal peptide binding domain
pfam14318	Mononegavirales mRNA-capping region V
pfam09504	Bsp6I restriction endonuclease
pfam01434	Peptidase family M41
pfam11774	Lsr2 
pfam10968	Protein of unknown function (DUF2770)
pfam19599	Family of unknown function (DUF6104)
pfam17699	Family of unknown function (DUF5545)
pfam04724	Glycosyltransferase family 17
pfam12973	ChrR Cupin-like domain
pfam10834	Protein of unknown function (DUF2560)
pfam07812	TfuA-like protein
pfam04313	Type I restriction enzyme R protein N terminus (HSDR_N)
pfam17485	Satellite RNA 48 kDa protein
pfam12145	Eukaryotic Mediator 12 subunit domain
pfam00963	Cohesin domain
pfam12837	4Fe-4S binding domain
pfam10102	Domain of unknown function (DUF2341)
pfam13198	Protein of unknown function (DUF4014)
pfam15417	Domain of unknown function (DUF4624)
pfam18898	Family of unknown function (DUF5654)
pfam09560	Sporulation protein YunB (Spo_YunB)
pfam07660	Secretin and TonB N terminus short domain
pfam14031	Putative serine dehydratase domain
pfam14003	YlbE-like protein
pfam05212	Protein of unknown function (DUF707)
pfam11376	Protein of unknown function (DUF3179)
pfam01767	Birnavirus VP3 protein
pfam12849	PBP superfamily domain
pfam04326	Putative DNA-binding domain
pfam15459	60S ribosome biogenesis protein Rrp14
pfam08893	Domain of unknown function (DUF1839)
pfam08082	PRO8NT (NUC069), PrP8 N-terminal domain
pfam03193	RsgA GTPase
pfam12655	Domain of unknown function (DUF3787)
pfam04008	Adenosine specific kinase
pfam20005	FtsH ternary system domain X7
pfam14130	Cap4 dsDNA endonuclease
pfam05172	Nup53/35/40-type RNA recognition motif
pfam03456	uDENN domain
pfam01810	LysE type translocator
pfam07368	Protein of unknown function (DUF1487)
pfam19302	Domain of unknown function (DUF5915)
pfam07745	Glycosyl hydrolase family 53
pfam10410	DnaB-helicase binding domain of primase
pfam02422	Keratin
pfam14862	Big defensin
pfam12227	Protein of unknown function (DUF3603)
pfam16691	Domain of unknown function (DUF5062)
pfam17363	Family of unknown function (DUF5388)
pfam06565	DUF1126 PH-like domain
pfam01503	Phosphoribosyl-ATP pyrophosphohydrolase
pfam14610	Ykl077w/Psg1 (Pma1 Stabilization in Golgi)
pfam01531	Glycosyl transferase family 11
pfam10224	Short coiled-coil protein
pfam19773	Domain of unknown function (DUF6259)
pfam08758	Cadherin prodomain like
pfam09401	Coronavirus RNA synthesis protein NSP10
pfam02036	SCP-2 sterol transfer family
pfam11911	Protein of unknown function (DUF3429)
pfam11508	Protein of unknown function (DUF3218)
pfam09012	FeoC like transcriptional regulator
pfam12321	Protein of unknown function (DUF3634)
pfam18753	Nucleotide modification associated domain 2
pfam09778	Guanylylate cyclase
pfam13982	YbfN-like lipoprotein
pfam19438	LIN9 C-terminal
pfam09596	MamL-1 domain
pfam07696	7TMR-DISM extracellular 2
pfam02935	Cytochrome c oxidase subunit VIIc
pfam08622	Svf1-like N-terminal lipocalin domain
pfam06730	FAM92 protein
pfam17783	CvfB-like winged helix domain
pfam15982	N-terminal cysteine-rich region of Transmembrane protein 135
pfam16470	Peptidase S8 pro-domain
pfam12515	Ca2+-ATPase N terminal autoinhibitory domain
pfam12992	Domain of unknown function, B. Theta Gene description (DUF3876)
pfam16202	N-terminal region of Bloom syndrome protein
pfam07788	PD-(D/E)XK nuclease superfamily
pfam06407	Borna disease virus P40 protein
pfam01050	Mannose-6-phosphate isomerase
pfam09852	Predicted membrane protein (DUF2079)
pfam01379	Porphobilinogen deaminase, dipyromethane cofactor binding domain
pfam20107	Family of unknown function (DUF6497)
pfam19697	Atg11 middle domain
pfam17597	Family of unknown function (DUF5493)
pfam03172	HSR domain
pfam08872	KGK domain
pfam14329	Domain of unknown function (DUF4386)
pfam05456	Eukaryotic translation initiation factor 4E binding protein (EIF4EBP)
pfam16214	Adenylyl cyclase N-terminal extracellular and transmembrane region
pfam12539	Chromosome segregation protein Csm1/Pcs1
pfam08822	Protein of unknown function (DUF1804)
pfam03122	Herpes virus major capsid protein
pfam09142	tRNA Pseudouridine synthase II, C terminal
pfam07896	Protein of unknown function (DUF1674)
pfam02919	Eukaryotic DNA topoisomerase I, DNA binding fragment
pfam14379	MYB-CC type transfactor, LHEQLE motif
pfam12547	Ataxin-1 like family
pfam01329	Pterin 4 alpha carbinolamine dehydratase
pfam00781	Diacylglycerol kinase catalytic domain
pfam02957	TT viral ORF2
pfam03785	Peptidase family C25, C terminal ig-like domain
pfam02156	Glycosyl hydrolase family 26
pfam10544	T5orf172 domain
pfam09652	Putative CRISPR-associated protein (Cas_VVA1548)
pfam07552	Spore Coat Protein X and V domain
pfam02286	Dehydratase large subunit
pfam17942	Morc6 ribosomal protein S5 domain 2-like
pfam15743	Spermatogenesis-associated C-terminus
pfam00954	S-locus glycoprotein domain
pfam19897	Family of unknown function (DUF6370)
pfam08789	PBCV-specific basic adaptor domain
pfam08672	Anaphase promoting complex (APC) subunit 2
pfam14050	N-terminal conserved domain of Nudc.
pfam05748	Rubella membrane glycoprotein E1
pfam05365	Ubiquinol-cytochrome C reductase, UQCRX/QCR9 like
pfam02646	RmuC family
pfam05296	Taste receptor protein (TAS2R)
pfam16420	Ubiquitin-like modifier-activating enzyme ATG7 N-terminus
pfam12371	Transmembrane protein 131-like N-terminal
pfam07759	Protein of unknown function (DUF1615)
pfam18390	Glycogen debranching enzyme C-terminal domain
pfam04911	ATP synthase j chain
pfam14503	YhfZ C-terminal domain
pfam01610	Transposase
pfam03296	Poxvirus poly(A) polymerase nucleotidyltransferase domain
pfam14531	Kinase-like
pfam09060	L27_N
pfam00361	Proton-conducting membrane transporter
pfam03748	Flagellar basal body-associated protein FliL
pfam09728	Myosin-like coiled-coil protein
pfam07717	Oligonucleotide/oligosaccharide-binding (OB)-fold
pfam02264	LamB porin
pfam16891	Serine-threonine protein phosphatase N-terminal domain
pfam04508	Viral A-type inclusion protein repeat 
pfam16969	RNA-binding signal recognition particle 68
pfam14662	Coiled-coil region of CCDC155 or KASH
pfam19314	Family of unknown function (DUF5917)
pfam13743	Thioredoxin
pfam19723	Family of unknown function (DUF6216)
pfam10274	Parkin co-regulated protein
pfam09004	Domain of unknown function (DUF1891)
pfam14810	Patch-forming domain C2 of tRNA-guanine transglycosylase
pfam12732	YtxH-like protein
pfam00267	Gram-negative porin
pfam08369	Proto-chlorophyllide reductase 57 kD subunit
pfam02472	Biopolymer transport protein ExbD/TolR
pfam10462	Peptidase M66
pfam19099	Family of unknown function (DUF5786)
pfam08446	PAS fold
pfam05785	Rho-activating domain of cytotoxic necrotizing factor
pfam12277	Protein of unknown function (DUF3618)
pfam01130	CD36 family
pfam05122	Mobile element transfer protein
pfam01862	Pyruvoyl-dependent arginine decarboxylase (PvlArgDC)
pfam19716	Family of unknown function (DUF6211)
pfam06990	Galactose-3-O-sulfotransferase 
pfam02200	STE like transcription factor
pfam16695	Type VI secretion system (T6SS), amidase immunity protein
pfam04947	Poxvirus Late Transcription Factor VLTF3 like 
pfam09393	Phage tail tube protein
pfam04146	YT521-B-like domain
pfam13410	Glutathione S-transferase, C-terminal domain
pfam14557	Putative AphA-like transcriptional regulator
pfam11856	Protein of unknown function (DUF3376)
pfam18063	Beta barrel Pore-forming domain
pfam19398	Family of unknown function (DUF5973)
pfam00456	Transketolase, thiamine diphosphate binding domain
pfam04939	Ribosome biogenesis regulatory protein (RRS1)
pfam06632	DNA double-strand break repair and V(D)J recombination protein XRCC4
pfam07741	Brf1-like TBP-binding domain
pfam16489	GPCR-Autoproteolysis INducing (GAIN) domain
pfam20033	Domain of unknown function (DUF6438)
pfam14519	Macro-like domain
pfam08720	Influenza C hemagglutinin stalk
pfam20001	Family of unknown function (DUF6428)
pfam08068	DKCLD (NUC011) domain
pfam04656	Pox virus E6 protein
pfam10982	Protein of unknown function (DUF2789)
pfam12325	TATA element modulatory factor 1 TATA binding
pfam19684	Family of unknown function (DUF6186)
pfam17584	Bacillus competence protein S
pfam12040	Domain of unknown function (DUF3526)
pfam11592	Central core of the bacterial effector protein AvrPto
pfam13224	Domain of unknown function (DUF4032)
pfam19244	Poly(A) polymerase catalytic subunit
pfam09405	CASC3/Barentsz eIF4AIII binding
pfam06112	Gammaherpesvirus capsid protein
pfam11915	Protein of unknown function (DUF3433)
pfam01535	PPR repeat
pfam01380	SIS domain
pfam15224	Scrapie-responsive protein 1
pfam01704	UTP--glucose-1-phosphate uridylyltransferase
pfam16298	Domain of unknown function (DUF4940)
pfam16746	BAR domain of APPL family
pfam11799	impB/mucB/samB family C-terminal domain
pfam17674	HHH domain
pfam19574	Outer membrane lipoprotein carrier protein LolA-like
pfam12511	Protein of unknown function (DUF3716) 
pfam08944	NADPH oxidase subunit p47Phox, C terminal domain
pfam02903	Alpha amylase, N-terminal ig-like domain
pfam19666	Family of unknown function (DUF6169)
pfam06293	Lipopolysaccharide kinase (Kdo/WaaP) family
pfam17566	Family of unknown function (DUF5472)
pfam18554	PheRS DNA binding domain 2
pfam02931	Neurotransmitter-gated ion-channel ligand binding domain
pfam11016	Protein of unknown function (DUF2854)
pfam01306	LacY proton/sugar symporter
pfam12162	STAT1 TAZ2 binding domain
pfam04073	Aminoacyl-tRNA editing domain
pfam00172	Fungal Zn(2)-Cys(6) binuclear cluster domain
pfam16344	Domain of unknown function (DUF4974)
pfam01028	Eukaryotic DNA topoisomerase I, catalytic core
pfam09567	MamI restriction endonuclease
pfam07667	Protein of unknown function (DUF1600)
pfam14078	Domain of unknown function (DUF4259)
pfam12830	Sister chromatid cohesion C-terminus
pfam14712	Snapin/Pallidin
pfam17824	Family of unknown function (DUF5586)
pfam11023	Zinc-ribbon containing domain
pfam15410	Pleckstrin homology domain
pfam03781	Sulfatase-modifying factor enzyme 1
pfam14760	Rnk N-terminus
pfam14028	Lantibiotic biosynthesis dehydratase C-term
pfam06042	Nucleotidyltransferase
pfam15462	Bartter syndrome, infantile, with sensorineural deafness (Barttin)
pfam17874	MalT-like TPR region
pfam11073	Rift valley fever virus non structural protein (NSs) like 
pfam16458	Beta-prism lectin
pfam05267	Protein of unknown function (DUF725)
pfam14306	PUA-like domain
pfam04023	FeoA domain
pfam01712	Deoxynucleoside kinase
pfam19866	Family of unknown function (DUF6339)
pfam12110	Nuclear protein 96
pfam06453	Type II heat-labile enterotoxin , B subunit (LT-IIB)
pfam01078	Magnesium chelatase, subunit ChlI
pfam00122	E1-E2 ATPase
pfam05361	PKC-activated protein phosphatase-1 inhibitor
pfam04799	fzo-like conserved region
pfam20153	Family of unknown function (DUF6535)
pfam14704	Dermatopontin
pfam15274	Muscular LMNA-interacting protein
pfam07867	Protein of unknown function (DUF1654)
pfam03954	Hepatic lectin, N-terminal domain
pfam04016	Putative heavy-metal chelation
pfam17624	Family of unknown function
pfam19524	Family of unknown function (DUF6054)
pfam12630	Poxvirus poly(A) polymerase N-terminal domain
pfam16895	Domain of unknown function (DUF5085)
pfam05954	Phage tail baseplate hub (GPD)
pfam04592	Selenoprotein P, N terminal region
pfam10743	Regulatory phage protein cox
pfam13274	Protein of unknown function (DUF4065)
pfam11656	YjbD family (DUF3811)
pfam06160	Septation ring formation regulator, EzrA 
pfam15544	Bacterial toxin 6
pfam06832	Penicillin-Binding Protein C-terminus Family
pfam17090	YtcA family
pfam14380	Wall-associated receptor kinase C-terminal
pfam03361	Herpes virus intermediate/early protein 2/3
pfam00296	Luciferase-like monooxygenase
pfam00365	Phosphofructokinase
pfam00748	Calpain inhibitor
pfam14535	AMP-binding enzyme C-terminal domain
pfam12375	Phage protein
pfam01557	Fumarylacetoacetate (FAA) hydrolase family
pfam04856	Securin sister-chromatid separation inhibitor
pfam02791	DDT domain
pfam16199	Radical_SAM C-terminal domain
pfam11947	Photosynthesis affected mutant 68
pfam08770	Sulphur oxidation protein SoxZ
pfam11146	Protein of unknown function (DUF2905)
pfam18430	Putative DNA-binding domain
pfam19884	Family of unknown function (DUF6357)
pfam01519	Protein of unknown function DUF16
pfam13462	Thioredoxin
pfam07069	Porcine reproductive and respiratory syndrome virus 2b 
pfam05781	MRVI1 protein
pfam11939	[NiFe]-hydrogenase assembly, chaperone, HybE
pfam09750	Alternative splicing regulator  
pfam18707	Interleukin-2 receptor subunit beta N-terminal domain 1
pfam08080	RNPHF zinc finger
pfam17911	Ski2 N-terminal region
pfam00976	Corticotropin ACTH domain
pfam14759	Reductase C-terminal
pfam00177	Ribosomal protein S7p/S5e
pfam12167	Arm DNA-binding domain
pfam09631	Sen15 protein
pfam07531	NHR1 homology to TAF
pfam07503	HypF finger
pfam09603	Fibrobacter succinogenes major domain (Fib_succ_major)
pfam16305	Domain of unknown function (DUF4947)
pfam12966	N-ATPase, AtpR subunit 
pfam13994	PgaD-like protein
pfam14717	Domain of unknown function (DUF4465)
pfam10100	Staphylopine dehydrogenase
pfam05210	Sprouty protein (Spry)
pfam03909	BSD domain  
pfam05071	NADH ubiquinone oxidoreductase subunit NDUFA12
pfam09562	LlaMI restriction endonuclease
pfam07662	Na+ dependent nucleoside transporter C-terminus
pfam17508	Microcin V bacteriocin
pfam19608	Family of unknown function (DUF6113)
pfam01745	Isopentenyl transferase
pfam01368	DHH family
pfam05424	Duffy binding domain
pfam07810	TMC domain
pfam09111	SLIDE
pfam08905	Domain of unknown function (DUF1850)
pfam11363	Protein of unknown function (DUF3164)
pfam06015	Chordopoxvirus A30L protein
pfam02174	PTB domain (IRS-1 type)
pfam10164	Uncharacterized conserved protein (DUF2367)
pfam16493	N-terminal of Homeobox Meis and PKNOX1
pfam14896	EmbC C-terminal domain
pfam18714	DNA polymerase II intein Domain IV
pfam11597	Mediator complex subunit 13 N-terminal
pfam18323	Cop9 signalosome subunit 5 C-terminal domain
pfam10987	Protein of unknown function (DUF2806)
pfam06159	Protein of unknown function (DUF974)
pfam07379	Protein of unknown function (DUF1494)
pfam12751	Vacuolar segregation subunit 7
pfam10186	Vacuolar sorting 38 and autophagy-related subunit 14
pfam19205	Family of unknown function (DUF5877)
pfam16536	PNKP adenylyltransferase domain, C-terminal region
pfam08328	Adenylosuccinate lyase C-terminal
pfam03424	Carbohydrate binding domain (family 17/28)
pfam09444	MRC1-like domain
pfam08006	Protein of unknown function (DUF1700)
pfam19790	Family of unknown function (DUF6274)
pfam06916	Protein of unknown function (DUF1279)
pfam06855	YozE SAM-like fold
pfam18316	S-layer protein SbsC C-terminal domain
pfam12065	Protein of unknown function (DUF3545)
pfam11783	Cytochrome c bacterial
pfam15994	Domain of unknown function (DUF4770)
pfam14552	Tautomerase enzyme
pfam16928	DNA/protein translocase of phage P22 injectosome
pfam00075	RNase H
pfam01696	Adenovirus EB1 55K protein / large t-antigen
pfam03071	GNT-I family
pfam04942	CC domain
pfam06649	Protein of unknown function (DUF1161)
pfam03210	Paramyxovirus P/V phosphoprotein C-terminal
pfam06289	Flagellar and Swarming motility proteins
pfam01788	PsbJ
pfam10256	Golgin subfamily A member 7/ERF4 family
pfam12984	Domain of unknown function, B. Theta Gene description (DUF3868)
pfam06923	Glucitol operon activator protein (GutM)
pfam09769	Apolipoprotein O
pfam06637	PV-1 protein (PLVAP)
pfam14696	Hydroxyphenylpyruvate dioxygenase, HPPD, N-terminal 
pfam11942	Spt5 transcription elongation factor, acidic N-terminal
pfam06145	Coronavirus nonstructural protein NS1
pfam13336	Acetyl-CoA hydrolase/transferase C-terminal domain
pfam08230	CW_7 repeat
pfam06973	Domain of unknown function (DUF1297)
pfam01552	Picornavirus 2B protein
pfam04783	Protein of unknown function (DUF630)
pfam18702	Domain of unknown function (DUF5642)
pfam03262	Coronavirus 6B/7B protein
pfam00340	Interleukin-1 / 18
pfam03021	Influenza C virus M2 protein
pfam09041	Aurora-A binding 
pfam13467	Ribbon-helix-helix domain
pfam16978	SAPK-interacting protein 1 (Sin1), middle CRIM domain
pfam00025	ADP-ribosylation factor family
pfam14788	EF hand
pfam19353	Family of unknown function (DUF5930)
pfam08378	Nuclease-related domain
pfam03474	DMRTA motif
pfam13734	Spi protease inhibitor
pfam01896	DNA primase small subunit
pfam15505	Domain of unknown function (DUF4648)
pfam04597	Ribophorin I
pfam06849	Protein of unknown function (DUF1246)
pfam18373	Spectrin like domain
pfam09358	Ubiquitin fold domain
pfam10496	SNARE-complex protein Syntaxin-18 N-terminus 
pfam06837	Fijivirus P9-2 protein
pfam07130	YebG protein
pfam16183	Kinesin-associated
pfam10918	Protein of unknown function (DUF2718)
pfam02124	Marek's disease glycoprotein A
pfam00538	linker histone H1 and H5 family
pfam14745	WASH complex subunit 7, N-terminal
pfam14368	Probable lipid transfer
pfam09831	Uncharacterized protein conserved in bacteria (DUF2058)
pfam09803	Pet100
pfam00913	Trypanosome variant surface glycoprotein (A-type)
