taxon_oid	Domain	Sequencing Status	Study Name	Genome Name / Sample Name	Sequencing Center	IMG Genome ID 	IMG Release/Pipeline Version	IMG Submission ID	GOLD Analysis Project ID	GOLD Analysis Project Type	GOLD Sequencing Project ID	GOLD Study ID	Add Date	Assembly Method	NCBI Bioproject Accession	NCBI Biosample Accession	Sequencing Method	Genome Size   * assembled	Gene Count   * assembled	KO Count   * assembled	KO %   * assembled	
3300017994	*Microbiome	Permanent Draft	Coastal wetland sediment microbial communities from the Mid-Atlantic and Southeast Atlantic Coast of USA, responding to salinity intrusion.	Wetland sediment microbial communities from Neuse River Estuary, North Carolina, USA - SourceSoil_2	DOE Joint Genome Institute (JGI)	3300017994	IMG Annotation Pipeline v.4.15.1	132967	Ga0187822	Metagenome Analysis	Gp0213314	Gs0114296	2017-06-06	MEGAHIT v. 1.0.6	PRJNA465914	SAMN09202575	Illumina HiSeq 2500-1TB	620177581	1471262	598184	40.66	
3300017943	*Microbiome	Permanent Draft	Coastal wetland sediment microbial communities from the Mid-Atlantic and Southeast Atlantic Coast of USA, responding to salinity intrusion.	Wetland sediment microbial communities from Neuse River Estuary, North Carolina, USA - SO4_4	DOE Joint Genome Institute (JGI)	3300017943	IMG Annotation Pipeline v.4.15.1	132411	Ga0187819	Metagenome Analysis	Gp0213311	Gs0114296	2017-06-01	MEGAHIT v. 1.0.6	PRJNA465911	SAMN09200278	Illumina HiSeq 2500-1TB	1322533142	2637640	923559	35.01	
3300017955	*Microbiome	Permanent Draft	Coastal wetland sediment microbial communities from the Mid-Atlantic and Southeast Atlantic Coast of USA, responding to salinity intrusion.	Wetland sediment microbial communities from Neuse River Estuary, North Carolina, USA - SO4_2	DOE Joint Genome Institute (JGI)	3300017955	IMG Annotation Pipeline v.4.15.1	132431	Ga0187817	Metagenome Analysis	Gp0213309	Gs0114296	2017-06-02	MEGAHIT v. 1.0.6	PRJNA465909	SAMN09202730	Illumina HiSeq 2500-1TB	1698066236	3520190	1236859	35.14	
3300018012	*Microbiome	Permanent Draft	Coastal wetland sediment microbial communities from the Mid-Atlantic and Southeast Atlantic Coast of USA, responding to salinity intrusion.	Wetland sediment microbial communities from Neuse River Estuary, North Carolina, USA - ASW_5	DOE Joint Genome Institute (JGI)	3300018012	IMG Annotation Pipeline v.4.15.1	132963	Ga0187810	Metagenome Analysis	Gp0213302	Gs0114296	2017-06-06	MEGAHIT v. 1.0.6	PRJNA465903	SAMN09200421	Illumina HiSeq 2500-1TB	808469327	1751514	633643	36.18	
3300017821	*Microbiome	Permanent Draft	Coastal wetland sediment microbial communities from the Mid-Atlantic and Southeast Atlantic Coast of USA, responding to salinity intrusion.	Wetland sediment microbial communities from Neuse River Estuary, North Carolina, USA - ASW-S_2	DOE Joint Genome Institute (JGI)	3300017821	IMG Annotation Pipeline v.4.15.1	130582	Ga0187812	Metagenome Analysis	Gp0213304	Gs0114296	2017-05-18	MEGAHIT v. 1.0.6	PRJNA465904	SAMN09200348	Illumina HiSeq 2500-1TB	478544368	982348	347308	35.35	
3300017936	*Microbiome	Permanent Draft	Coastal wetland sediment microbial communities from the Mid-Atlantic and Southeast Atlantic Coast of USA, responding to salinity intrusion.	Wetland sediment microbial communities from Neuse River Estuary, North Carolina, USA - SourceSoil_1	DOE Joint Genome Institute (JGI)	3300017936	IMG Annotation Pipeline v.4.15.1	132442	Ga0187821	Metagenome Analysis	Gp0213313	Gs0114296	2017-06-01	MEGAHIT v. 1.0.6	PRJNA465913	SAMN09200277	Illumina HiSeq 2500-1TB	771647837	1738104	708953	40.79	
3300018001	*Microbiome	Permanent Draft	Coastal wetland sediment microbial communities from the Mid-Atlantic and Southeast Atlantic Coast of USA, responding to salinity intrusion.	Wetland sediment microbial communities from Neuse River Estuary, North Carolina, USA - ASW-S_5	DOE Joint Genome Institute (JGI)	3300018001	IMG Annotation Pipeline v.4.15.1	132962	Ga0187815	Metagenome Analysis	Gp0213307	Gs0114296	2017-06-06	MEGAHIT v. 1.0.6	PRJNA465906	SAMN09200420	Illumina HiSeq 2500-1TB	819691874	1696272	639528	37.7	
3300017926	*Microbiome	Permanent Draft	Coastal wetland sediment microbial communities from the Mid-Atlantic and Southeast Atlantic Coast of USA, responding to salinity intrusion.	Wetland sediment microbial communities from Neuse River Estuary, North Carolina, USA - ASW_2	DOE Joint Genome Institute (JGI)	3300017926	IMG Annotation Pipeline v.4.15.1	132432	Ga0187807	Metagenome Analysis	Gp0213299	Gs0114296	2017-06-01	MEGAHIT v. 1.0.6	PRJNA465900	SAMN09200280	Illumina HiSeq 2500-1TB	530969770	1161540	400339	34.47	
3300017995	*Microbiome	Permanent Draft	Coastal wetland sediment microbial communities from the Mid-Atlantic and Southeast Atlantic Coast of USA, responding to salinity intrusion.	Wetland sediment microbial communities from Neuse River Estuary, North Carolina, USA - SO4_1	DOE Joint Genome Institute (JGI)	3300017995	IMG Annotation Pipeline v.4.15.1	132960	Ga0187816	Metagenome Analysis	Gp0213308	Gs0114296	2017-06-06	MEGAHIT v. 1.0.6	PRJNA465907	SAMN09202722	Illumina HiSeq 2500-1TB	849612087	1793832	652029	36.35	
3300017928	*Microbiome	Permanent Draft	Coastal wetland sediment microbial communities from the Mid-Atlantic and Southeast Atlantic Coast of USA, responding to salinity intrusion.	Wetland sediment microbial communities from Neuse River Estuary, North Carolina, USA - ASW_1	DOE Joint Genome Institute (JGI)	3300017928	IMG Annotation Pipeline v.4.15.1	132470	Ga0187806	Metagenome Analysis	Gp0213298	Gs0114296	2017-06-01	MEGAHIT v. 1.0.6	PRJNA465899	SAMN09202572	Illumina HiSeq 2500-1TB	569341036	1273041	449728	35.33	
