"Feature"	"FeatureName"	"Mean.Timberlake_Field(n=5)"	"Mean.Timberlake_Lab(n=18)"	"StdErr.Timberlake_Field(n=5)"	"StdErr.Timberlake_Lab(n=18)"	"MWTest.UStat"	"MWTest.Pval"	"MWTest.adjPval"	"3300017993.Timberlake_Field"	"3300017994.Timberlake_Field"	"3300017930.Timberlake_Field"	"3300017936.Timberlake_Field"	"3300017927.Timberlake_Field"	"3300017822.Timberlake_Lab"	"3300017821.Timberlake_Lab"	"3300017937.Timberlake_Lab"	"3300018001.Timberlake_Lab"	"3300018006.Timberlake_Lab"	"3300017823.Timberlake_Lab"	"3300017995.Timberlake_Lab"	"3300017932.Timberlake_Lab"	"3300017926.Timberlake_Lab"	"3300017928.Timberlake_Lab"	"3300017942.Timberlake_Lab"	"3300018007.Timberlake_Lab"	"3300017924.Timberlake_Lab"	"3300017934.Timberlake_Lab"	"3300017933.Timberlake_Lab"	"3300017943.Timberlake_Lab"	"3300018012.Timberlake_Lab"	"3300017955.Timberlake_Lab"
"M00011"	"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate"	"6580.4"	"6323.11111111111"	"264.773412562515"	"462.732774059517"	"48"	"0.852142817304823"	"0.903752839916337"	"6380"	"6352"	"6524"	"7594"	"6052"	"4717"	"3652"	"6577"	"6706"	"7063"	"6765"	"6544"	"5112"	"4001"	"4570"	"6755"	"7118"	"4570"	"6190"	"5965"	"8849"	"6471"	"12191"
"M00012"	"Glyoxylate cycle"	"2369"	"2380.16666666667"	"100.644423591176"	"168.356186567514"	"49"	"0.800618146155904"	"0.88236294185951"	"2228"	"2327"	"2350"	"2753"	"2187"	"1848"	"1388"	"2406"	"2542"	"2702"	"2525"	"2440"	"1983"	"1578"	"1793"	"2597"	"2707"	"1765"	"2159"	"2216"	"3367"	"2321"	"4506"
"M00013"	"Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA"	"822.2"	"925.055555555556"	"35.8097752017518"	"75.1722845699498"	"34"	"0.446016226336592"	"0.705551530454868"	"782"	"804"	"883"	"921"	"721"	"763"	"455"	"851"	"837"	"1077"	"1060"	"1041"	"698"	"554"	"616"	"964"	"1032"	"679"	"888"	"959"	"1407"	"939"	"1831"
"M00014"	"Glucuronate pathway (uronate pathway)"	"1213"	"1658.66666666667"	"47.9364162198219"	"142.680547244856"	"20"	"0.0666884602811376"	"0.207412414603199"	"1134"	"1189"	"1311"	"1337"	"1094"	"1293"	"985"	"1404"	"1487"	"1804"	"1819"	"1754"	"1339"	"988"	"1146"	"1832"	"1836"	"1038"	"1605"	"1562"	"2654"	"1867"	"3443"
"M00015"	"Proline biosynthesis, glutamate => proline"	"678.6"	"604.333333333333"	"32.2979875534065"	"49.264459076545"	"66"	"0.129632381348628"	"0.330382527464906"	"678"	"602"	"666"	"797"	"650"	"402"	"302"	"722"	"624"	"673"	"642"	"594"	"460"	"455"	"405"	"638"	"712"	"509"	"496"	"542"	"904"	"578"	"1220"
"M00016"	"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	"3279.2"	"3010.38888888889"	"129.784976018028"	"232.068112309528"	"59"	"0.325180540283515"	"0.602733627697222"	"3069"	"3184"	"3290"	"3773"	"3080"	"2215"	"1754"	"3227"	"3191"	"3250"	"3275"	"3025"	"2439"	"1978"	"2061"	"3270"	"3545"	"2109"	"2644"	"2737"	"4382"	"3161"	"5924"
"M00017"	"Methionine biosynthesis, aspartate => homoserine => methionine"	"4564.6"	"4365.72222222222"	"176.171110003882"	"333.369623569191"	"53"	"0.587357722369164"	"0.77819597151438"	"4503"	"4450"	"4555"	"5199"	"4116"	"3634"	"2311"	"4544"	"4128"	"4709"	"4614"	"4588"	"3548"	"3071"	"3305"	"4678"	"5241"	"3209"	"3457"	"4135"	"6400"	"4374"	"8637"
"M00018"	"Threonine biosynthesis, aspartate => homoserine => threonine"	"2308.2"	"2208.33333333333"	"102.805836410196"	"180.161220465108"	"57"	"0.403280929596719"	"0.660732594473196"	"2180"	"2124"	"2376"	"2682"	"2179"	"1714"	"1251"	"2100"	"2120"	"2470"	"2559"	"2278"	"1669"	"1308"	"1474"	"2320"	"2607"	"1498"	"2146"	"2094"	"3300"	"2399"	"4443"
"M00019"	"Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine"	"3806.4"	"3539.61111111111"	"134.608172114475"	"261.328570620977"	"66"	"0.129632381348628"	"0.330382527464906"	"3774"	"3755"	"3799"	"4273"	"3431"	"2800"	"1959"	"3599"	"3551"	"3781"	"3795"	"3698"	"2868"	"2494"	"2710"	"3712"	"4218"	"2638"	"3109"	"3350"	"5313"	"3301"	"6817"
"M00020"	"Serine biosynthesis, glycerate-3P => serine"	"1143.6"	"984.5"	"51.0613356660399"	"71.1051991517162"	"71"	"0.055395405509822"	"0.194024504780178"	"1081"	"1136"	"1118"	"1338"	"1045"	"744"	"598"	"1125"	"1119"	"1041"	"1029"	"964"	"817"	"671"	"736"	"1067"	"1115"	"730"	"855"	"887"	"1379"	"945"	"1899"
"M00021"	"Cysteine biosynthesis, serine => cysteine"	"625.2"	"676.777777777778"	"31.2"	"63.9732151648879"	"37"	"0.587357722369164"	"0.77819597151438"	"585"	"577"	"628"	"745"	"591"	"595"	"351"	"576"	"686"	"809"	"816"	"722"	"489"	"294"	"394"	"635"	"725"	"359"	"761"	"663"	"1111"	"804"	"1392"
"M00022"	"Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate"	"2265.6"	"2187.44444444444"	"108.456258463954"	"172.056082630286"	"52"	"0.638473654491961"	"0.813610524994964"	"2112"	"2183"	"2333"	"2655"	"2045"	"1625"	"1263"	"2349"	"2176"	"2381"	"2372"	"2326"	"1686"	"1413"	"1559"	"2320"	"2580"	"1520"	"1883"	"2051"	"3197"	"2303"	"4370"
"M00023"	"Tryptophan biosynthesis, chorismate => tryptophan"	"2135.8"	"2070.61111111111"	"85.0331699985365"	"161.480874419218"	"53"	"0.576055844054548"	"0.77725181900007"	"2080"	"2042"	"2173"	"2442"	"1942"	"1375"	"1258"	"2152"	"2228"	"2167"	"2224"	"2028"	"1606"	"1375"	"1455"	"2320"	"2377"	"1423"	"1919"	"1873"	"3134"	"2322"	"4035"
"M00024"	"Phenylalanine biosynthesis, chorismate => phenylpyruvate => phenylalanine"	"453.6"	"422.333333333333"	"27.3104375651508"	"34.332857411512"	"56"	"0.446016226336592"	"0.705551530454868"	"396"	"414"	"491"	"542"	"425"	"294"	"234"	"426"	"378"	"488"	"463"	"452"	"315"	"287"	"290"	"388"	"499"	"269"	"428"	"408"	"658"	"503"	"822"
"M00025"	"Tyrosine biosynthesis, chorismate => HPP => tyrosine"	"407.2"	"395.388888888889"	"28.3203107327586"	"30.6190101666842"	"51.5"	"0.654641058429997"	"0.822785165903455"	"343"	"365"	"431"	"504"	"393"	"261"	"243"	"397"	"362"	"433"	"423"	"421"	"310"	"278"	"287"	"391"	"449"	"255"	"393"	"371"	"586"	"486"	"771"
"M00026"	"Histidine biosynthesis, PRPP => histidine"	"2387.8"	"2236.88888888889"	"83.901370668184"	"174.949738606519"	"57"	"0.403280929596719"	"0.660732594473196"	"2304"	"2370"	"2329"	"2710"	"2226"	"1755"	"1293"	"2315"	"2273"	"2341"	"2391"	"2266"	"1739"	"1433"	"1611"	"2425"	"2589"	"1561"	"1967"	"2070"	"3357"	"2426"	"4452"
"M00027"	"GABA (gamma-Aminobutyrate) shunt"	"1248.6"	"1560.5"	"36.1159244655318"	"115.231969794606"	"24"	"0.129632381348628"	"0.330382527464906"	"1262"	"1291"	"1210"	"1346"	"1134"	"1161"	"910"	"1575"	"1610"	"1654"	"1765"	"1634"	"1303"	"1086"	"1143"	"1723"	"1679"	"1062"	"1502"	"1472"	"2243"	"1527"	"3040"
"M00028"	"Ornithine biosynthesis, glutamate => ornithine"	"1692.4"	"1660"	"79.2632323337876"	"136.240655972692"	"50"	"0.745341614906832"	"0.846874218795069"	"1510"	"1621"	"1803"	"1944"	"1584"	"1247"	"874"	"1608"	"1636"	"1846"	"1852"	"1764"	"1227"	"945"	"1195"	"1699"	"1934"	"1080"	"1545"	"1580"	"2503"	"2082"	"3263"
"M00029"	"Urea cycle"	"1310"	"1435.11111111111"	"50.3040753816229"	"108.642030435056"	"35"	"0.47878183735928"	"0.737272669906911"	"1263"	"1244"	"1362"	"1481"	"1200"	"1061"	"870"	"1386"	"1455"	"1574"	"1627"	"1449"	"1214"	"867"	"1061"	"1563"	"1597"	"953"	"1306"	"1377"	"2104"	"1585"	"2783"
"M00030"	"Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine"	"89.4"	"155.5"	"8.80113629027525"	"18.0745099102778"	"17.5"	"0.0441189939816856"	"0.166924441147202"	"74"	"71"	"113"	"108"	"81"	"117"	"82"	"75"	"159"	"215"	"249"	"190"	"114"	"37"	"81"	"142"	"154"	"60"	"210"	"165"	"265"	"163"	"321"
"M00031"	"Lysine biosynthesis, mediated by LysW, 2-aminoadipate => lysine"	"177.4"	"266.722222222222"	"8.72696969170857"	"31.5000576361705"	"26"	"0.167817886544305"	"0.399929638712727"	"176"	"150"	"176"	"205"	"180"	"134"	"274"	"70"	"484"	"397"	"365"	"214"	"181"	"78"	"136"	"256"	"266"	"109"	"425"	"265"	"344"	"306"	"497"
"M00032"	"Lysine degradation, lysine => saccharopine => acetoacetyl-CoA"	"1511.8"	"1619.11111111111"	"57.570304845467"	"108.180612983185"	"45"	"1"	"1"	"1556"	"1561"	"1462"	"1661"	"1319"	"1186"	"946"	"1882"	"1680"	"1587"	"1509"	"1554"	"1557"	"1432"	"1394"	"2078"	"1842"	"1266"	"1217"	"1402"	"2184"	"1459"	"2969"
"M00033"	"Ectoine biosynthesis, aspartate => ectoine"	"914.4"	"900.888888888889"	"43.9222039519876"	"77.7565283764401"	"49"	"0.800618146155904"	"0.88236294185951"	"856"	"823"	"931"	"1075"	"887"	"691"	"517"	"846"	"885"	"1079"	"1076"	"952"	"662"	"487"	"555"	"899"	"1039"	"588"	"858"	"853"	"1338"	"1035"	"1856"
"M00034"	"Methionine salvage pathway"	"1503.2"	"1486.66666666667"	"73.4876860433093"	"127.573456988923"	"45"	"1"	"1"	"1392"	"1415"	"1495"	"1789"	"1425"	"1140"	"854"	"1242"	"1535"	"1826"	"1741"	"1502"	"1104"	"806"	"1007"	"1488"	"1606"	"897"	"1618"	"1430"	"2245"	"1690"	"3029"
"M00035"	"Methionine degradation"	"1169.2"	"1232.83333333333"	"42.7871476029894"	"79.3867940648533"	"41"	"0.800618146155904"	"0.88236294185951"	"1163"	"1112"	"1150"	"1332"	"1089"	"846"	"871"	"1284"	"1459"	"1261"	"1229"	"1122"	"1093"	"917"	"979"	"1437"	"1370"	"873"	"1220"	"1048"	"1602"	"1334"	"2246"
"M00036"	"Leucine degradation, leucine => acetoacetate + acetyl-CoA"	"4324.8"	"4228.77777777778"	"185.138164623073"	"314.522332670876"	"54"	"0.538203215548753"	"0.762627722418503"	"4320"	"4175"	"4271"	"4994"	"3864"	"3137"	"2485"	"4655"	"4894"	"4468"	"4361"	"4236"	"3600"	"2947"	"3180"	"4664"	"4936"	"3072"	"3544"	"3841"	"6132"	"3772"	"8194"
"M00037"	"Melatonin biosynthesis, animals, tryptophan => serotonin => melatonin"	"192.2"	"201.388888888889"	"7.07389567353096"	"19.7793612129598"	"43.5"	"0.940569559757436"	"0.945723365564326"	"185"	"182"	"190"	"220"	"184"	"169"	"79"	"230"	"167"	"218"	"231"	"213"	"138"	"105"	"121"	"197"	"252"	"144"	"184"	"192"	"350"	"205"	"430"
"M00038"	"Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate"	"1215.4"	"820.222222222222"	"55.693446652187"	"65.23760271157"	"82"	"0.00650411260388329"	"0.0568335553720278"	"1203"	"1155"	"1203"	"1423"	"1093"	"752"	"342"	"973"	"875"	"921"	"743"	"886"	"680"	"585"	"656"	"818"	"1118"	"641"	"622"	"799"	"1164"	"599"	"1590"
"M00039"	"Monolignol biosynthesis, phenylalanine/tyrosine => monolignol"	"120.6"	"137.333333333333"	"3.82883794381533"	"11.6565782712365"	"36.5"	"0.550689531826418"	"0.762925924448042"	"122"	"109"	"128"	"129"	"115"	"113"	"68"	"134"	"117"	"144"	"140"	"158"	"123"	"125"	"106"	"160"	"158"	"110"	"80"	"122"	"223"	"110"	"281"
"M00040"	"Tyrosine biosynthesis, chorismate => arogenate => tyrosine"	"234.4"	"151.555555555556"	"14.4242850776044"	"14.8037758436897"	"83"	"0.00249635947576451"	"0.0404089837492262"	"207"	"199"	"250"	"278"	"238"	"112"	"56"	"148"	"151"	"187"	"172"	"170"	"92"	"85"	"83"	"121"	"196"	"94"	"159"	"160"	"235"	"192"	"315"
"M00042"	"Catecholamine biosynthesis, tyrosine => dopamine => noradrenaline => adrenaline"	"206.6"	"214.5"	"8.38808679020431"	"20.0134350299829"	"48"	"0.856964545751731"	"0.903752839916337"	"201"	"208"	"196"	"238"	"190"	"171"	"97"	"271"	"185"	"213"	"243"	"217"	"170"	"121"	"131"	"211"	"257"	"165"	"192"	"204"	"368"	"195"	"450"
"M00044"	"Tyrosine degradation, tyrosine => homogentisate"	"561.6"	"410.555555555556"	"20.9059800057304"	"33.4369196581215"	"76"	"0.0192576302416119"	"0.0929940828772575"	"572"	"551"	"526"	"637"	"522"	"298"	"243"	"654"	"529"	"360"	"382"	"421"	"380"	"373"	"362"	"505"	"518"	"330"	"168"	"322"	"536"	"289"	"720"
"M00045"	"Histidine degradation, histidine => N-formiminoglutamate => glutamate"	"1065.6"	"1266.72222222222"	"44.2318889490377"	"96.3460472496124"	"28"	"0.226812089512318"	"0.478391016385176"	"1026"	"1009"	"1022"	"1242"	"1029"	"871"	"789"	"1333"	"1337"	"1362"	"1393"	"1244"	"1116"	"833"	"957"	"1469"	"1352"	"787"	"1214"	"1119"	"1795"	"1327"	"2503"
"M00046"	"Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate"	"556.8"	"585.833333333333"	"25.3759728877535"	"49.0675304964455"	"40"	"0.745341614906832"	"0.846874218795069"	"568"	"552"	"533"	"643"	"488"	"543"	"239"	"614"	"585"	"661"	"616"	"660"	"476"	"352"	"420"	"634"	"702"	"432"	"424"	"571"	"874"	"558"	"1184"
"M00047"	"Creatine pathway"	"8.2"	"11.3333333333333"	"1.52970585407784"	"1.2808289799255"	"31.5"	"0.330404037479881"	"0.609338099271941"	"10"	"9"	"7"	"12"	"3"	"15"	"6"	"6"	"14"	"11"	"9"	"19"	"8"	"6"	"10"	"15"	"15"	"8"	"5"	"16"	"15"	"3"	"23"
"M00048"	"Inosine monophosphate biosynthesis, PRPP + glutamine => IMP"	"3913.8"	"3617.88888888889"	"172.632094350964"	"270.434410746143"	"57"	"0.403280929596719"	"0.660732594473196"	"3772"	"3640"	"3983"	"4554"	"3620"	"2645"	"2191"	"3718"	"3936"	"4004"	"3935"	"3583"	"2805"	"2288"	"2556"	"3890"	"4190"	"2515"	"3384"	"3343"	"5164"	"4013"	"6962"
"M00049"	"Adenine ribonucleotide biosynthesis, IMP => ADP,ATP"	"1726.6"	"1736"	"79.7794459745115"	"123.946567657144"	"48"	"0.856964545751731"	"0.903752839916337"	"1644"	"1660"	"1758"	"2018"	"1553"	"1269"	"1150"	"1740"	"1973"	"1962"	"1873"	"1728"	"1407"	"1099"	"1231"	"1869"	"1940"	"1258"	"1569"	"1574"	"2417"	"1900"	"3289"
"M00050"	"Guanine ribonucleotide biosynthesis IMP => GDP,GTP"	"1829.2"	"1811.94444444444"	"77.9380523236243"	"128.191938206193"	"47"	"0.913845879520937"	"0.923915806568"	"1770"	"1776"	"1863"	"2104"	"1633"	"1334"	"1150"	"1876"	"2027"	"2025"	"1946"	"1832"	"1449"	"1127"	"1322"	"1938"	"2022"	"1310"	"1732"	"1646"	"2495"	"1969"	"3415"
"M00051"	"Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP"	"3342.4"	"3172.22222222222"	"148.584857909546"	"252.602862702427"	"54"	"0.538203215548753"	"0.762627722418503"	"3196"	"3095"	"3352"	"3912"	"3157"	"2386"	"1805"	"3113"	"3210"	"3588"	"3617"	"3338"	"2416"	"1836"	"2178"	"3296"	"3636"	"2204"	"3087"	"2959"	"4771"	"3413"	"6247"
"M00052"	"Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP"	"977.6"	"933.944444444444"	"49.3959512510894"	"67.2186206024848"	"49"	"0.794139497407266"	"0.88236294185951"	"899"	"921"	"993"	"1164"	"911"	"722"	"611"	"953"	"1042"	"991"	"1010"	"942"	"733"	"564"	"655"	"1000"	"1080"	"663"	"951"	"814"	"1327"	"991"	"1762"
"M00053"	"Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP"	"2220.6"	"2212.44444444444"	"108.854765628336"	"161.931503759921"	"48"	"0.852142817304823"	"0.903752839916337"	"2120"	"2050"	"2253"	"2630"	"2050"	"1553"	"1434"	"2018"	"2523"	"2423"	"2454"	"2179"	"1736"	"1400"	"1627"	"2368"	"2493"	"1495"	"2243"	"2058"	"3130"	"2489"	"4201"
"M00055"	"N-glycan precursor biosynthesis"	"76"	"92"	"5.35723809439155"	"7.76534954749439"	"29"	"0.247733102666157"	"0.505100270435998"	"86"	"68"	"72"	"91"	"63"	"47"	"87"	"42"	"130"	"105"	"88"	"72"	"92"	"91"	"70"	"128"	"96"	"52"	"125"	"67"	"112"	"81"	"171"
"M00056"	"O-glycan biosynthesis, mucin type core"	"0.4"	"0.222222222222222"	"0.244948974278318"	"0.100831690330337"	"53"	"0.46275795333715"	"0.725778499464675"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"
"M00057"	"Glycosaminoglycan biosynthesis, linkage tetrasaccharide"	"0"	"0.166666666666667"	"0"	"0.0903876907577734"	"37.5"	"0.371536677547844"	"0.651117323032217"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"M00059"	"Glycosaminoglycan biosynthesis, heparan sulfate backbone"	"0.6"	"1.33333333333333"	"0.6"	"0.291491544065069"	"25.5"	"0.137144102606947"	"0.347116452805169"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"3"	"0"	"3"	"1"	"1"	"1"	"0"	"1"	"1"	"0"	"1"	"3"	"2"	"2"	"1"	"4"
"M00060"	"KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type"	"1897.2"	"1650.44444444444"	"122.911919682348"	"178.196268056222"	"57.5"	"0.370975162088435"	"0.651117323032217"	"1713"	"1626"	"2017"	"2314"	"1816"	"1356"	"618"	"1344"	"1458"	"2099"	"2137"	"2023"	"960"	"626"	"929"	"1439"	"1921"	"961"	"1714"	"1713"	"2776"	"2036"	"3598"
"M00061"	"D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P"	"407"	"650.222222222222"	"24.7568172429333"	"64.9586875026155"	"20"	"0.0666884602811376"	"0.207412414603199"	"339"	"377"	"429"	"486"	"404"	"540"	"316"	"677"	"497"	"725"	"782"	"733"	"385"	"315"	"383"	"732"	"734"	"361"	"650"	"595"	"1019"	"845"	"1415"
"M00063"	"CMP-KDO biosynthesis"	"736.8"	"610"	"50.9150272512939"	"68.4167353299075"	"62"	"0.218644191540567"	"0.478391016385176"	"601"	"666"	"834"	"872"	"711"	"529"	"224"	"476"	"476"	"800"	"794"	"744"	"317"	"210"	"312"	"506"	"731"	"387"	"639"	"696"	"1037"	"765"	"1337"
"M00064"	"ADP-L-glycero-D-manno-heptose biosynthesis"	"693.2"	"724.055555555556"	"30.3041251317374"	"67.3775079430505"	"45"	"1"	"1"	"659"	"658"	"729"	"794"	"626"	"564"	"420"	"586"	"742"	"832"	"799"	"772"	"552"	"402"	"424"	"709"	"862"	"448"	"700"	"643"	"1179"	"848"	"1551"
"M00065"	"GPI-anchor biosynthesis, core oligosaccharide"	"3"	"5.5"	"0.632455532033676"	"0.875408401422471"	"26.5"	"0.176364195695867"	"0.409656074812552"	"2"	"1"	"4"	"4"	"4"	"5"	"1"	"2"	"3"	"6"	"12"	"6"	"1"	"0"	"4"	"6"	"8"	"8"	"4"	"3"	"7"	"13"	"10"
"M00066"	"Lactosylceramide biosynthesis"	"263.6"	"357.833333333333"	"20.7234167067113"	"41.2474796219526"	"31"	"0.325180540283515"	"0.602733627697222"	"223"	"218"	"302"	"321"	"254"	"346"	"123"	"222"	"263"	"491"	"454"	"459"	"209"	"104"	"211"	"325"	"423"	"197"	"350"	"412"	"629"	"444"	"779"
"M00068"	"Glycosphingolipid biosynthesis, globo-series, LacCer => Gb4Cer"	"0.2"	"0"	"0.2"	"0"	"54"	"0.0731397996589089"	"0.223133223064833"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"M00071"	"Glycosphingolipid biosynthesis, neolacto-series, LacCer => nLc4Cer"	"0"	"0.0555555555555556"	"0"	"0.0555555555555556"	"42.5"	"0.673289979659996"	"0.828910220214568"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"M00072"	"N-glycosylation by oligosaccharyltransferase"	"49.2"	"92.5"	"2.33238075793812"	"11.5462270667575"	"22"	"0.0931274344415501"	"0.262256881874107"	"58"	"46"	"50"	"46"	"46"	"35"	"85"	"35"	"175"	"126"	"122"	"65"	"87"	"28"	"49"	"102"	"74"	"31"	"167"	"79"	"90"	"164"	"151"
"M00073"	"N-glycan precursor trimming"	"4.4"	"3.33333333333333"	"1.12249721603218"	"0.666666666666667"	"58"	"0.346562692349082"	"0.630087675644873"	"2"	"5"	"8"	"5"	"2"	"1"	"5"	"9"	"8"	"2"	"1"	"3"	"0"	"1"	"2"	"8"	"2"	"1"	"4"	"6"	"3"	"4"	"0"
