taxon_oid	Domain	Sequencing Status	Study Name	Genome Name / Sample Name	Sequencing Center	IMG Genome ID 	IMG Release/Pipeline Version	GOLD Analysis Project ID	GOLD Analysis Project Type	GOLD Sequencing Project ID	GOLD Study ID	Add Date	Assembly Method	Has Coverage	Is Public	Release Date	Contact Email	Contact Name	Sequencing Strategy	Ecosystem	Ecosystem Category	Ecosystem Subtype	Ecosystem Type	Specific Ecosystem	Latitude	Longitude	Genome Size   * assembled	Gene Count   * assembled	Scaffold Count   * assembled	Genome Bin Count   * assembled	GC   * assembled	CDS Count   * assembled	RNA Count   * assembled	rRNA Count   * assembled	5S rRNA Count   * assembled	16S rRNA Count   * assembled	18S rRNA Count   * assembled	23S rRNA Count   * assembled	28S rRNA Count   * assembled	tRNA Count   * assembled	w/ Func Pred %   * assembled	COG %   * assembled	KOG % 	Pfam %   * assembled	TIGRfam %   * assembled	Enzyme %   * assembled	KEGG %   * assembled	KO %   * assembled	MetaCyc %   * assembled	JGI Data Utilization Status	
3300017993	*Microbiome	Permanent Draft	Coastal wetland sediment microbial communities from the Mid-Atlantic and Southeast Atlantic Coast of USA, responding to salinity intrusion.	Wetland sediment microbial communities from Neuse River Estuary, North Carolina, USA - SourceSoil_3	DOE Joint Genome Institute (JGI)	3300017993	IMG Annotation Pipeline v.4.15.1	Ga0187823	Metagenome Analysis	Gp0213315	Gs0114296	2017-06-06	MEGAHIT v. 1.0.6	Yes	Yes	2018-06-06	sgtringe@lbl.gov	Susannah Tringe	Metagenome	Environmental	Aquatic	Wetlands	Freshwater	Sediment	35.9061	-76.1569	609403130	1444046	1111787	1	62.61	1435669	8377	1862	178	574	15	1082	13	6515	100	55.56	0	51.98	0	24.89	25.77	40.91	16.26	Unrestricted	
3300017821	*Microbiome	Permanent Draft	Coastal wetland sediment microbial communities from the Mid-Atlantic and Southeast Atlantic Coast of USA, responding to salinity intrusion.	Wetland sediment microbial communities from Neuse River Estuary, North Carolina, USA - ASW-S_2	DOE Joint Genome Institute (JGI)	3300017821	IMG Annotation Pipeline v.4.15.1	Ga0187812	Metagenome Analysis	Gp0213304	Gs0114296	2017-05-18	MEGAHIT v. 1.0.6	Yes	Yes	2018-05-18	sgtringe@lbl.gov	Susannah Tringe	Metagenome	Environmental	Aquatic	Wetlands	Freshwater	Sediment	35.9061	-76.1569	478544368	982348	681532	2	62.34	975832	6516	1139	145	368	4	610	12	5377	100	50.9	0	48.83	0	21.75	21.79	35.35	14.2	Unrestricted	
3300018001	*Microbiome	Permanent Draft	Coastal wetland sediment microbial communities from the Mid-Atlantic and Southeast Atlantic Coast of USA, responding to salinity intrusion.	Wetland sediment microbial communities from Neuse River Estuary, North Carolina, USA - ASW-S_5	DOE Joint Genome Institute (JGI)	3300018001	IMG Annotation Pipeline v.4.15.1	Ga0187815	Metagenome Analysis	Gp0213307	Gs0114296	2017-06-06	MEGAHIT v. 1.0.6	Yes	Yes	2018-06-06	sgtringe@lbl.gov	Susannah Tringe	Metagenome	Environmental	Aquatic	Wetlands	Freshwater	Sediment	35.9061	-76.1569	819691874	1696272	1194121	1	63.05	1686857	9415	1671	230	555	6	873	7	7744	100	53.02	0	50.87	0	22.92	23.29	37.7	14.94	Unrestricted	
3300017924	*Microbiome	Permanent Draft	Coastal wetland sediment microbial communities from the Mid-Atlantic and Southeast Atlantic Coast of USA, responding to salinity intrusion.	Wetland sediment microbial communities from Neuse River Estuary, North Carolina, USA - SO4_5	DOE Joint Genome Institute (JGI)	3300017924	IMG Annotation Pipeline v.4.15.1	Ga0187820	Metagenome Analysis	Gp0213312	Gs0114296	2017-06-01	MEGAHIT v. 1.0.6	Yes	Yes	2018-06-01	sgtringe@lbl.gov	Susannah Tringe	Metagenome	Environmental	Aquatic	Wetlands	Freshwater	Sediment	35.9061	-76.1569	504985088	1164216	892491	0	62.85	1157589	6627	1462	124	438	15	866	19	5165	100	53.06	0	50.3	0	23.06	23.55	38.13	15.08	Unrestricted	
3300017933	*Microbiome	Permanent Draft	Coastal wetland sediment microbial communities from the Mid-Atlantic and Southeast Atlantic Coast of USA, responding to salinity intrusion.	Wetland sediment microbial communities from Neuse River Estuary, North Carolina, USA - Control_1	DOE Joint Genome Institute (JGI)	3300017933	IMG Annotation Pipeline v.4.15.1	Ga0187801	Metagenome Analysis	Gp0213293	Gs0114296	2017-06-01	MEGAHIT v. 1.0.6	Yes	Yes	2018-06-01	sgtringe@lbl.gov	Susannah Tringe	Metagenome	Environmental	Aquatic	Wetlands	Freshwater	Sediment	35.9061	-76.1569	740673025	1593048	1188226	1	60.33	1585154	7894	1297	141	416	1	733	6	6597	100	51.51	0	49.82	0	22.41	22.45	36.66	14.59	Unrestricted	
3300017927	*Microbiome	Permanent Draft	Coastal wetland sediment microbial communities from the Mid-Atlantic and Southeast Atlantic Coast of USA, responding to salinity intrusion.	Wetland sediment microbial communities from Neuse River Estuary, North Carolina, USA - SourceSoil_4	DOE Joint Genome Institute (JGI)	3300017927	IMG Annotation Pipeline v.4.15.1	Ga0187824	Metagenome Analysis	Gp0213316	Gs0114296	2017-06-01	MEGAHIT v. 1.0.6	Yes	Yes	2018-06-01	sgtringe@lbl.gov	Susannah Tringe	Metagenome	Environmental	Aquatic	Wetlands	Freshwater	Sediment	35.9061	-76.1569	594016570	1352252	1014986	0	61.66	1343464	8788	2008	206	623	8	1163	8	6780	100	55.55	0	52.36	0	25	25.78	41.21	16.23	Unrestricted	
3300017943	*Microbiome	Permanent Draft	Coastal wetland sediment microbial communities from the Mid-Atlantic and Southeast Atlantic Coast of USA, responding to salinity intrusion.	Wetland sediment microbial communities from Neuse River Estuary, North Carolina, USA - SO4_4	DOE Joint Genome Institute (JGI)	3300017943	IMG Annotation Pipeline v.4.15.1	Ga0187819	Metagenome Analysis	Gp0213311	Gs0114296	2017-06-01	MEGAHIT v. 1.0.6	Yes	Yes	2018-06-01	sgtringe@lbl.gov	Susannah Tringe	Metagenome	Environmental	Aquatic	Wetlands	Freshwater	Sediment	35.9061	-76.1569	1322533142	2637640	1835492	1	60.72	2624397	13243	2011	270	650	5	1081	5	11232	100	49.96	0	49.34	0	21.38	21.32	35.01	13.87	Unrestricted	
3300017932	*Microbiome	Permanent Draft	Coastal wetland sediment microbial communities from the Mid-Atlantic and Southeast Atlantic Coast of USA, responding to salinity intrusion.	Wetland sediment microbial communities from Neuse River Estuary, North Carolina, USA - ASW-S_4	DOE Joint Genome Institute (JGI)	3300017932	IMG Annotation Pipeline v.4.15.1	Ga0187814	Metagenome Analysis	Gp0213306	Gs0114296	2017-06-01	MEGAHIT v. 1.0.6	Yes	Yes	2018-06-01	sgtringe@lbl.gov	Susannah Tringe	Metagenome	Environmental	Aquatic	Wetlands	Freshwater	Sediment	35.9061	-76.1569	681556839	1442775	1043474	1	63.41	1435655	7120	1306	159	411	9	707	20	5814	100	50.4	0	48.8	0	21.35	21.3	35.01	13.95	Unrestricted	
3300017942	*Microbiome	Permanent Draft	Coastal wetland sediment microbial communities from the Mid-Atlantic and Southeast Atlantic Coast of USA, responding to salinity intrusion.	Wetland sediment microbial communities from Neuse River Estuary, North Carolina, USA - ASW_3	DOE Joint Genome Institute (JGI)	3300017942	IMG Annotation Pipeline v.4.15.1	Ga0187808	Metagenome Analysis	Gp0213300	Gs0114296	2017-06-01	MEGAHIT v. 1.0.6	Yes	Yes	2018-06-01	sgtringe@lbl.gov	Susannah Tringe	Metagenome	Environmental	Aquatic	Wetlands	Freshwater	Sediment	35.9061	-76.1569	900139526	1920982	1395635	2	63.2	1911766	9216	1606	192	535	12	849	18	7610	100	50.15	0	48.83	0	21.56	21.45	35.19	14.05	Unrestricted	
3300018006	*Microbiome	Permanent Draft	Coastal wetland sediment microbial communities from the Mid-Atlantic and Southeast Atlantic Coast of USA, responding to salinity intrusion.	Wetland sediment microbial communities from Neuse River Estuary, North Carolina, USA - Control_4	DOE Joint Genome Institute (JGI)	3300018006	IMG Annotation Pipeline v.4.15.1	Ga0187804	Metagenome Analysis	Gp0213296	Gs0114296	2017-06-06	MEGAHIT v. 1.0.6	Yes	Yes	2018-06-06	sgtringe@lbl.gov	Susannah Tringe	Metagenome	Environmental	Aquatic	Wetlands	Freshwater	Sediment	35.9061	-76.1569	857870289	1850441	1380464	0	60.15	1841216	9225	1510	181	482	1	841	5	7715	100	51.16	0	49.56	0	22.37	22.4	36.6	14.54	Unrestricted	
3300017937	*Microbiome	Permanent Draft	Coastal wetland sediment microbial communities from the Mid-Atlantic and Southeast Atlantic Coast of USA, responding to salinity intrusion.	Wetland sediment microbial communities from Neuse River Estuary, North Carolina, USA - ASW_4	DOE Joint Genome Institute (JGI)	3300017937	IMG Annotation Pipeline v.4.15.1	Ga0187809	Metagenome Analysis	Gp0213301	Gs0114296	2017-06-01	MEGAHIT v. 1.0.6	Yes	Yes	2018-06-01	sgtringe@lbl.gov	Susannah Tringe	Metagenome	Environmental	Aquatic	Wetlands	Freshwater	Sediment	35.9061	-76.1569	727812528	1617178	1195491	2	64.16	1608093	9085	2086	235	659	42	1074	76	6999	100	54.61	0	52.07	0	23.92	24.37	39.51	15.59	Unrestricted	
3300017995	*Microbiome	Permanent Draft	Coastal wetland sediment microbial communities from the Mid-Atlantic and Southeast Atlantic Coast of USA, responding to salinity intrusion.	Wetland sediment microbial communities from Neuse River Estuary, North Carolina, USA - SO4_1	DOE Joint Genome Institute (JGI)	3300017995	IMG Annotation Pipeline v.4.15.1	Ga0187816	Metagenome Analysis	Gp0213308	Gs0114296	2017-06-06	MEGAHIT v. 1.0.6	Yes	Yes	2018-06-06	sgtringe@lbl.gov	Susannah Tringe	Metagenome	Environmental	Aquatic	Wetlands	Freshwater	Sediment	35.9061	-76.1569	849612087	1793832	1314616	0	60.37	1784891	8941	1527	178	494	3	843	9	7414	100	51.23	0	49.81	0	22.13	22.22	36.35	14.36	Unrestricted	
3300017934	*Microbiome	Permanent Draft	Coastal wetland sediment microbial communities from the Mid-Atlantic and Southeast Atlantic Coast of USA, responding to salinity intrusion.	Wetland sediment microbial communities from Neuse River Estuary, North Carolina, USA - Control_3	DOE Joint Genome Institute (JGI)	3300017934	IMG Annotation Pipeline v.4.15.1	Ga0187803	Metagenome Analysis	Gp0213295	Gs0114296	2017-06-01	MEGAHIT v. 1.0.6	Yes	Yes	2018-06-01	sgtringe@lbl.gov	Susannah Tringe	Metagenome	Environmental	Aquatic	Wetlands	Freshwater	Sediment	35.9061	-76.1569	742617980	1553627	1120343	1	59.12	1544152	9475	1648	190	551	5	896	6	7827	100	50.02	0	48.48	0	21.73	21.81	35.75	14.06	Unrestricted	
